Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788486801,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788486802,2,,Aggregated,0.000000,0.000000,7,8,10,12,24,34,34,34,34,34,34,15,0,7,9.76613323825101,2.2101658396422863,34.48554198257625,1054.6666666666667
1788486803,4,,Aggregated,0.000000,0.000000,7,8,9,9,10,12,34,34,34,34,34,45,0,7,7.782866702311569,1.7482920084148645,34.48554198257625,1683.888888888889
1788486804,6,,Aggregated,11.000000,0.000000,7,8,9,9,10,12,24,34,34,34,34,90,0,7,7.0648212839538855,1.7482920084148645,34.48554198257625,4667.077777777778
1788486805,8,,Aggregated,18.000000,0.000000,6,7,8,8,10,10,15,24,34,34,34,154,0,6,6.156893914214686,1.7482920084148645,34.48554198257625,8423.675324675325
1788486806,10,,Aggregated,25.000000,0.000000,5,6,7,8,9,10,12,16,34,34,34,234,0,5,5.725047900341451,1.7482920084148645,34.48554198257625,11032.726495726496
1788486807,10,,Aggregated,33.500000,0.000000,5,6,7,8,9,11,18,33,35,35,35,313,0,5,6.006654941093045,1.7482920084148645,35.17025010660291,13054.421725239617
1788486808,10,,Aggregated,41.400000,0.000000,5,6,7,8,9,11,16,33,35,35,35,387,0,5,5.915285096544705,1.7482920084148645,35.17025010660291,14168.777777777777
1788486809,10,,Aggregated,48.000000,0.000000,5,6,7,8,9,11,15,24,35,35,35,465,0,5,5.781468272870106,1.3563749380409718,35.17025010660291,15252.608602150538
1788486810,10,,Aggregated,51.857143,0.000000,5,6,7,7,9,10,14,23,35,35,35,543,0,5,5.693480425169537,1.3563749380409718,35.17025010660291,15747.239410681399
1788486811,10,,Aggregated,54.750000,0.000000,5,6,7,7,9,10,14,18,35,35,35,620,0,5,5.699596711764893,1.3563749380409718,35.17025010660291,16340.311290322581
1788486812,10,,Aggregated,57.000000,0.000000,5,6,7,7,9,10,14,18,35,35,35,696,0,5,5.6668654781359455,1.3563749380409718,35.17025010660291,16436.955459770114
1788486813,10,,Aggregated,59.500000,0.000000,5,6,7,7,9,10,14,16,35,35,35,770,0,5,5.664012113029694,1.3563749380409718,35.17025010660291,16885.0012987013
1788486814,10,,Aggregated,65.900000,0.000000,5,6,7,7,9,10,14,15,35,35,35,846,0,5,5.718099575073636,1.3563749380409718,35.17025010660291,17304.244680851065
1788486815,10,,Aggregated,70.600000,0.000000,5,6,7,7,9,11,13,15,35,35,35,919,0,5,5.752026329427082,1.3563749380409718,35.17025010660291,17541.420021762784
1788486816,10,,Aggregated,74.400000,0.000000,5,6,7,7,9,10,12,15,35,35,35,995,0,5,5.716965693147413,1.3563749380409718,35.17025010660291,17722.0432160804
1788486817,10,,Aggregated,75.700000,0.000000,5,6,7,7,9,11,14,15,35,35,35,1071,0,5,5.775577219135287,1.3563749380409718,35.17025010660291,18081.028011204482
1788486818,10,,Aggregated,76.400000,0.000000,5,6,7,7,9,10,13,15,35,35,35,1148,0,5,5.771973897023159,1.3563749380409718,35.17025010660291,18077.91724738676
1788486819,10,,Aggregated,75.500000,0.000000,5,6,7,7,9,10,12,15,35,35,35,1220,0,5,5.757975302919074,1.3563749380409718,35.17025010660291,18045.902459016394
1788486820,10,,Aggregated,75.400000,0.000000,5,6,7,7,9,10,13,15,35,35,35,1293,0,5,5.806381924744848,1.3563749380409718,35.17025010660291,18124.313225058006
1788486821,10,,Aggregated,75.900000,0.000000,5,6,7,7,9,11,13,15,35,35,35,1364,0,5,5.827547256702344,1.3563749380409718,35.17025010660291,18289.89882697947
1788486822,10,,Aggregated,75.300000,0.000000,5,6,7,7,9,11,13,15,35,35,35,1441,0,5,5.86105089299872,1.3563749380409718,35.17025010660291,18282.87092297016
1788486823,10,,Aggregated,74.400000,0.000000,5,6,7,7,9,11,13,15,35,35,35,1513,0,5,5.858000827231798,1.3563749380409718,35.17025010660291,18403.380039656313
1788486824,10,,Aggregated,74.200000,0.000000,5,6,7,8,9,11,13,15,35,35,35,1591,0,5,5.904642286863223,1.3563749380409718,35.17025010660291,18423.785040854807
1788486825,10,,Aggregated,74.300000,0.000000,6,6,7,8,9,11,14,16,35,35,35,1668,0,6,5.973937801321035,1.3563749380409718,35.17025010660291,18540.28237410072
1788486826,10,,Aggregated,74.300000,0.000000,6,6,7,8,9,11,14,16,35,35,35,1743,0,6,5.975859227408059,1.3563749380409718,35.17025010660291,18576.375788869766
1788486827,10,,Aggregated,75.200000,0.000000,6,6,7,8,9,11,14,16,35,35,35,1821,0,6,5.969327020257883,1.3563749380409718,35.17025010660291,18579.045579352005
